store_name,lat,long,address
Lululemon,43.07245,-89.4513,"578 N Midvale Blvd, Madison, WI 53705"
August,43.075031,-89.39193,"414 State St, Madison, WI 53703"
Sunne Boutique,43.0581,-89.42758,"2534 Monroe St, Madison, WI 53711"
Up North Boutique,43.05633,-89.38898,"404 W Lakeside St, Madison, WI 53715"
Madewell,43.07372,-89.45132,"710 N Midvale Blvd, Madison, WI 53705"
Twigs,43.07492065,-89.45108032,"570 N Midvale Blvd, Madison, WI 53705"
Untuckit,43.0741481,-89.4512364,"700 N Midvale Blvd, Madison, WI 53705"
Z Boutique,43.0612827,-89.4852674,"6108 Mineral Point Rd, Madison, WI 53705"
Hive of Madison,43.0646156,-89.4178189,"1904 Monroe St, Madison, WI 53711"
Urban Outfitters,43.0751437,-89.3958671,"604 State St, Madison, WI 53703"
Pitaya,43.0726339,-89.3985991,"341 E Campus Mall, Madison, WI 53715"
Ragstock,43.0745932,-89.3911439,"329 State St, Madison, WI 53703"
Jazzman & Duet,43.0746533,-89.3905725,"307-309 State St, Madison, WI 53703"
ReThreads,43.0749791,-89.3918652,"410 State St, Madison, WI 53703"
Evereve,43.0734292,-89.451899,"666 N Midvale Blvd, Madison, WI 53705"
Sconnie Nation,43.0745809,-89.3944894,"521 State St, Madison, WI 53703"
Macy's,43.0728554,-89.4529586,"702 N Midvale Blvd Ste 132, Madison, WI 53705"
Nordstrom Rack,43.0549845,-89.5109708,"7349 W Towne Way, Madison, WI 53719"
Good Style Shop,43.0834648,-89.3771512,"817 E Johnson St, Madison, WI 53703"
Change Boutique,43.0845208,-89.3628449,"1252 Williamson St, Madison, WI 53703"
My Pretty Girl,43.065057,-89.4166655,"1821 Monroe St, Madison, WI 53711"
Upshift,43.0841312,-89.3770154,"836 E Johnson St, Madison, WI 53703"
Good Day Shop,43.0639924,-89.4181841,"1925 Monroe St #120, Madison, WI 53711"
Singlestitch,43.0749843,-89.3886605,"214 State St, Madison, WI 53703"
Free People,43.0741002,-89.4531801,"709 Hilldale Wy, Madison, WI 53705"
Soli by Jazzman,43.0749514,-89.3911177,"340 State St, Madison, WI 53703"
Mainstream Boutique of Madison,43.0731871,-89.5251905,"601 Junction Rd, Madison, WI 53717"
SO Collection,43.0638538,-89.4183743,"1931 Monroe St, Madison, WI 53711"
Title Nine,43.0725636,-89.452751,"472 N Midvale Blvd, Madison, WI 53705"
Princess of India Imports,43.0749237,-89.3904898,"306 State St, Madison, WI 53703"
Insignia Campus Apparel,43.0747662,-89.3966957,"639 State St, Madison, WI 53703"
So Simple Shop,43.074385,-89.3789649,"148 E Wilson St, Madison, WI 53703"
Anthropologie,43.0728554,-89.4529586,"702 N Midvale Blvd, Madison, WI 53705"
Levi's Store,43.0724262,-89.4523268,"574 N Midvale Blvd, Madison, WI 53705"
Windsor,43.05819,-89.505106,"54 W Towne Mall D-01A, Madison, WI 53719"